,ARBOR CARDIOLOGY,ARBOR DERMATOLOGY,ARBOR FOLLOW-UP VISIT,ARBOR GENERAL VISIT,ARBOR MENTAL HEALTH,ARBOR MSK,ARBOR NEUROLOGY,ARBOR OPHTHALMOLOGY,ARBOR WOMEN'S HEALTH,PFC DERMATOLOGY VISIT,PFC FOLLOW UP VISIT,PFC HEP CLINIC VISIT,PFC MENTAL HEALTH VISIT,PFC NEW PATIENT VISIT,PFC OPHTHALMOLOGY VISIT,PFC WOMEN'S CLINIC VISIT
6/2017 - 7/2017,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,6.0,1.0,23.0,0.0,3.0
7/2017 - 8/2017,4.0,0.0,0.0,44.0,0.0,5.0,0.0,4.0,0.0,0.0,33.0,0.0,0.0,40.0,7.0,3.0
8/2017 - 9/2017,0.0,0.0,0.0,31.0,0.0,0.0,1.0,2.0,1.0,7.0,34.0,0.0,0.0,18.0,0.0,5.0
9/2017 - 10/2017,0.0,1.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,25.0,6.0,2.0
10/2017 - 11/2017,1.0,0.0,0.0,42.0,1.0,0.0,0.0,0.0,1.0,3.0,21.0,9.0,0.0,29.0,2.0,3.0
11/2017 - 12/2017,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,13.0,0.0,3.0
12/2017 - 13/2017,0.0,0.0,0.0,23.0,3.0,6.0,0.0,0.0,0.0,6.0,12.0,6.0,0.0,14.0,2.0,0.0
1/2018 - 2/2018,0.0,0.0,0.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,36.0,7.0,5.0
2/2018 - 3/2018,3.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0,2.0,16.0,0.0,5.0
3/2018 - 4/2018,0.0,2.0,0.0,29.0,2.0,0.0,0.0,0.0,3.0,0.0,27.0,4.0,0.0,37.0,5.0,0.0
4/2018 - 5/2018,0.0,0.0,1.0,42.0,3.0,3.0,2.0,0.0,2.0,5.0,25.0,0.0,0.0,29.0,6.0,1.0
5/2018 - 6/2018,4.0,1.0,2.0,51.0,0.0,3.0,0.0,5.0,0.0,0.0,35.0,3.0,3.0,33.0,0.0,4.0
